samples	reef	species	site	warmed	replicates	morphology	pocType	temp	salinity	Domg	pH	PO4	N.N	silicate	NO2	NH4	prok	syn	peuk	pe.peuk	Hbact
MIC-226	Olim2	Stylophora pistillata	Micronesia	FALSE	FALSE			29.3	34.4	6.27	7.72	0.1121	0.039	1.0316	0.0094	0.0101	44513	6005	1155	7	420066
MIC-229	Olim2	Stylophora pistillata	Micronesia	FALSE	FALSE			29.3	34.4	6.27	7.72	0.1121	0.039	1.0316	0.0094	0.0101	44513	6005	1155	7	420066
MIC-238	Kos1	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type3	30	34.4	6.31	7.33	0.1232	0.1246	1.2473	0.0224	0.0811	43063	2244	860	7	380966
MIC-244	Kos1	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type?	30	34.4	6.31	7.33	0.1232	0.1246	1.2473	0.0224	0.0811	43063	2244	860	7	380966
MIC-248	Kos1	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type?	30	34.4	6.31	7.33	0.1232	0.1246	1.2473	0.0224	0.0811	43063	2244	860	7	380966
MIC-308	Kap1	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type3	30.5	34.5	6.43	7.72	0.1089	0.4122	1.0568	0.0836	0.1724	17391	54633	1004	13	549668
MIC-334	Kap2	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type3	30	34.5	6.39	7.72	0.0739	0.5058	1.1238	0.0457	0.1116	36107	2842	538	20	321943
MIC-346	Kap3	Pocillopora verrucosa	Micronesia	FALSE	FALSE		type3	30.3	34.6	6.2	7.72	0.1091	0.3367	0.9584	0.0684	0.0406	65408	80620	4082	33	735656
MIC-349	Kap3	Pocillopora damicornis	Micronesia	FALSE	FALSE		type5	30.3	34.6	6.2	7.72	0.1091	0.3367	0.9584	0.0684	0.0406	65408	80620	4082	33	735656
MIC-380	Kap6	Seriatopora sp.	Micronesia	FALSE	FALSE			30.1	34.6	6.17	7.74	0.0563	0.1914	0.9835	0.0235	0.071	85391	21486	1345	20	652043
MIC-424	Nak1	Stylophora pistillata	Micronesia	FALSE	FALSE			30	34.2	6.31	7.66	0.0784	1.9946	1.2159	0.0508	0.0609	61478	702	604	39	395732
MIC-427	Nak1	Stylophora pistillata	Micronesia	FALSE	FALSE			30	34.2	6.31	7.66	0.0784	1.9946	1.2159	0.0508	0.0609	61478	702	604	39	395732
MIC-453	Nak2	Stylophora pistillata	Micronesia	FALSE	FALSE			30.2	34.3	6.42	7.8	0.0629	2.0029	0.8349	0.0099	0.0507	53780	1680	669	33	481832
SPaq-rep2	Kept in aquarium (coll. Red Sea)	Stylophora pistillata	RedSea	FALSE	TRUE																
RP7-rep2	i14-17	Pocillopora verrucosa	Indonesia	FALSE	TRUE																
RP8-rep2	i14-20	Pocillopora verrucosa	Indonesia	FALSE	TRUE																
RS5-rep2	RA	Stylophora pistillata	Indonesia	FALSE	TRUE																
RS7-rep2	RJ	Stylophora pistillata	Indonesia	FALSE	TRUE																
END74-rep2	Metagenome study	Stylophora pistillata	RedSea	FALSE	TRUE																
END59-rep2	Metagenome study	Pocillopora verrucosa	RedSea	FALSE	TRUE																
END62-rep2	Metagenome study	Acropora humilis	RedSea	FALSE	TRUE																
SPaq	Kept in aquarium (coll. Red Sea)	Stylophora pistillata	RedSea	FALSE	FALSE																
RP1	i6-1	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP2	i6-3	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP4	i7-15	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP5	i17-16	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP6	i14-16	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP7	i14-17	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP8	i14-20	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP9	i14-21	Pocillopora verrucosa	Indonesia	FALSE	FALSE																
RP10	i14-22	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP11	i14-23	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP12	i14-24	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP13	i14-25	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP15	i14-27	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP16	i14-28	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP17	i14-29	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP18	i14-30	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP19	i6-6	Pocillopora verrucosa	Indonesia	FALSE	FALSE																
RP20	i6-7	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP21	i6-8	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP22	i7-14	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP23	i7-17	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP24	i7-18	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP25	i7-19	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP27	i7-21	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP28	i7-22	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RP29	i7-23	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type?														
RP30	i7-24	Pocillopora verrucosa	Indonesia	FALSE	FALSE		type3														
RS1	RA	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS2	RA	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS3	RA	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS5	RA	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS6	RJ	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS7	RJ	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS10	RW	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS12	RW	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS13	RK	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS15	RK	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS16	RK	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS17	RK	Stylophora pistillata	Indonesia	FALSE	FALSE																
RS18	RK	Stylophora pistillata	Indonesia	FALSE	FALSE																
Yanbu1A	Yanbu1A	seawater	RedSea	FALSE	FALSE																
Yanbu1B	Yanbu1B	seawater	RedSea	FALSE	FALSE																
Yanbu2A	Yanbu2A	seawater	RedSea	FALSE	FALSE																
Yanbu2B	Yanbu2B	seawater	RedSea	FALSE	FALSE																
Al-Lith1A	Al-Lith1A	seawater	RedSea	FALSE	FALSE																
Al-Lith1B	Al-Lith1B	seawater	RedSea	FALSE	FALSE																
Al-Lith2A	Al-Lith2A	seawater	RedSea	FALSE	FALSE																
Al-Lith2B	Al-Lith2B	seawater	RedSea	FALSE	FALSE																
Al-FahalA	Al-FahalA	seawater	RedSea	FALSE	FALSE																
Al-FahalB	Al-FahalB	seawater	RedSea	FALSE	FALSE																
Inner-FsarA	Inner-FsarA	seawater	RedSea	FALSE	FALSE																
Inner-FsarB	Inner-FsarB	seawater	RedSea	FALSE	FALSE																
Maldives-1A	Maldives-1A	seawater	Maldives	FALSE	FALSE																
Maldives-1B	Maldives-1B	seawater	Maldives	FALSE	FALSE																
Maldives-2A	Maldives-2A	seawater	Maldives	FALSE	FALSE																
Maldives-2B	Maldives-2B	seawater	Maldives	FALSE	FALSE																
Maldives-3A	Maldives-3A	seawater	Maldives	FALSE	FALSE																
Maldives-3B	Maldives-3B	seawater	Maldives	FALSE	FALSE																
Maldives-4A	Maldives-4A	seawater	Maldives	FALSE	FALSE																
Maldives-4B	Maldives-4B	seawater	Maldives	FALSE	FALSE																
Maldives-5A	Maldives-5A	seawater	Maldives	FALSE	FALSE																
Maldives-5B	Maldives-5B	seawater	Maldives	FALSE	FALSE																
Am-Soa-1A	Am-Soa-1A	seawater	AmericanSamoa	FALSE	FALSE																
Am-Soa-1B	Am-Soa-1B	seawater	AmericanSamoa	FALSE	FALSE																
Am-Soa-2A	Am-Soa-2A	seawater	AmericanSamoa	FALSE	FALSE																
Am-Soa-2B	Am-Soa-2B	seawater	AmericanSamoa	FALSE	FALSE																
Maggie-Island-1A	Maggie-Island-1A	seawater	MaggieIs	FALSE	FALSE																
Maggie-Island-1B	Maggie-Island-1B	seawater	MaggieIs	FALSE	FALSE																
Maggie-Island-2A	Maggie-Island-2A	seawater	MaggieIs	FALSE	FALSE																
Maggie-Island-2B	Maggie-Island-2B	seawater	MaggieIs	FALSE	FALSE																
Maggie-Island-3A	Maggie-Island-3A	seawater	MaggieIs	FALSE	FALSE																
Maggie-Island-3B	Maggie-Island-3B	seawater	MaggieIs	FALSE	FALSE																
Ningaloo-1A	Ningaloo-1A	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-1B	Ningaloo-1B	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-2A	Ningaloo-2A	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-2B	Ningaloo-2B	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-3A	Ningaloo-3A	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-3B	Ningaloo-3B	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-4A	Ningaloo-4A	warmed	Ningaloo	FALSE	FALSE																
Ningaloo-4B	Ningaloo-4B	warmed	Ningaloo	FALSE	FALSE																
END72	Metagenome study	Stylophora pistillata	RedSea	FALSE	FALSE																
END74	Metagenome study	Stylophora pistillata	RedSea	FALSE	FALSE																
END76	Metagenome study	Stylophora pistillata	RedSea	FALSE	FALSE																
END78	Metagenome study	Pocillopora verrucosa	RedSea	FALSE	FALSE																
END59	Metagenome study	Pocillopora verrucosa	RedSea	FALSE	FALSE																
END60	Metagenome study	Pocillopora verrucosa	RedSea	FALSE	FALSE																
